date,game_id,home,away,home_score,away_score
2026-05-28,NPB20260528DBB03,DeNA,オリックス,3,1
2026-05-28,NPB20260528HCM06,広島,ロッテ,3,6
2026-05-28,NPB20260528HTF05,阪神,日本ハム,2,4
2026-05-28,NPB20260528YGSH01,巨人,ソフトバンク,4,8
2026-05-28,NPB20260528YSL02,ヤクルト,西武,0,8
2026-05-29,NPB20260529BCD05,オリックス,中日,1,5
2026-05-29,NPB20260529EYS02,楽天,ヤクルト,2,7
2026-05-29,NPB20260529FYG01,日本ハム,巨人,2,4
2026-05-29,NPB20260529LDB03,西武,DeNA,13,4
2026-05-29,NPB20260529MHT04,ロッテ,阪神,0,1
2026-05-29,NPB20260529SHHC06,ソフトバンク,広島,2,0
2026-05-30,NPB20260530BCD05,オリックス,中日,3,1
2026-05-30,NPB20260530EYS02,楽天,ヤクルト,7,8
2026-05-30,NPB20260530FYG01,日本ハム,巨人,3,5
2026-05-30,NPB20260530LDB03,西武,DeNA,6,0
2026-05-30,NPB20260530MHT04,ロッテ,阪神,3,4
2026-05-30,NPB20260530SHHC06,ソフトバンク,広島,4,2
2026-05-31,NPB20260531BCD05,オリックス,中日,7,5
2026-05-31,NPB20260531EYS02,楽天,ヤクルト,1,2
2026-05-31,NPB20260531FYG01,日本ハム,巨人,3,0
2026-05-31,NPB20260531LDB03,西武,DeNA,0,6
2026-05-31,NPB20260531MHT04,ロッテ,阪神,4,2
2026-05-31,NPB20260531SHHC06,ソフトバンク,広島,3,1
2026-06-02,NPB20260602CDSH04,中日,ソフトバンク,0,3
2026-06-02,NPB20260602DBE03,DeNA,楽天,3,7
2026-06-02,NPB20260602YGB01,巨人,オリックス,3,2
2026-06-02,NPB20260602YSM02,ヤクルト,ロッテ,0,5
2026-06-03,NPB20260603CDSH04,中日,ソフトバンク,5,8
2026-06-03,NPB20260603DBE03,DeNA,楽天,0,2
2026-06-03,NPB20260603HCF06,広島,日本ハム,3,1
2026-06-03,NPB20260603HTL05,阪神,西武,2,3
2026-06-03,NPB20260603YGB01,巨人,オリックス,5,4
2026-06-03,NPB20260603YSM02,ヤクルト,ロッテ,1,0
2026-06-04,NPB20260604CDSH04,中日,ソフトバンク,1,2
2026-06-04,NPB20260604DBE03,DeNA,楽天,8,7
2026-06-04,NPB20260604HCF06,広島,日本ハム,2,5
2026-06-04,NPB20260604HTL05,阪神,西武,2,4
2026-06-04,NPB20260604YGB01,巨人,オリックス,2,1
2026-06-04,NPB20260604YSM02,ヤクルト,ロッテ,2,5
2026-06-05,NPB20260605CDL04,中日,西武,1,0
2026-06-05,NPB20260605DBSH03,DeNA,ソフトバンク,8,3
2026-06-05,NPB20260605HCB06,広島,オリックス,2,2
2026-06-05,NPB20260605HTE05,阪神,楽天,8,1
2026-06-05,NPB20260605YGM01,巨人,ロッテ,8,2
2026-06-05,NPB20260605YSF02,ヤクルト,日本ハム,1,3
2026-06-06,NPB20260606CDL04,中日,西武,2,5
2026-06-06,NPB20260606DBSH03,DeNA,ソフトバンク,3,6
2026-06-06,NPB20260606HCB06,広島,オリックス,7,4
2026-06-06,NPB20260606HTE05,阪神,楽天,1,0
2026-06-06,NPB20260606YGM01,巨人,ロッテ,1,1
2026-06-06,NPB20260606YSF02,ヤクルト,日本ハム,0,2
2026-06-07,NPB20260607CDL04,中日,西武,1,4
2026-06-07,NPB20260607DBSH03,DeNA,ソフトバンク,2,4
2026-06-07,NPB20260607HCB05,広島,オリックス,5,2
2026-06-07,NPB20260607YGM01,巨人,ロッテ,2,2
2026-06-07,NPB20260607YSF02,ヤクルト,日本ハム,1,7
2026-06-09,NPB20260609BYS05,オリックス,ヤクルト,4,3
2026-06-09,NPB20260609EYG02,楽天,巨人,2,8
2026-06-09,NPB20260609FDB01,日本ハム,DeNA,4,1
2026-06-09,NPB20260609LHC03,西武,広島,4,3
2026-06-09,NPB20260609MCD04,ロッテ,中日,3,1
2026-06-09,NPB20260609SHHT06,ソフトバンク,阪神,10,4
2026-06-10,NPB20260610BYS05,オリックス,ヤクルト,8,4
2026-06-10,NPB20260610EYG02,楽天,巨人,0,7
2026-06-10,NPB20260610FDB01,日本ハム,DeNA,4,2
2026-06-10,NPB20260610LHC03,西武,広島,5,4
2026-06-10,NPB20260610MCD04,ロッテ,中日,4,11
2026-06-10,NPB20260610SHHT06,ソフトバンク,阪神,6,2
2026-06-11,NPB20260611BYS05,オリックス,ヤクルト,4,2
2026-06-11,NPB20260611EYG02,楽天,巨人,8,2
2026-06-11,NPB20260611FDB01,日本ハム,DeNA,3,0
2026-06-11,NPB20260611LHC03,西武,広島,4,1
2026-06-11,NPB20260611MCD04,ロッテ,中日,3,2
2026-06-11,NPB20260611SHHT06,ソフトバンク,阪神,3,2
2026-06-12,NPB20260612BHT05,オリックス,阪神,2,1
2026-06-12,NPB20260612EHC02,楽天,広島,2,1
2026-06-12,NPB20260612FCD01,日本ハム,中日,3,1
2026-06-12,NPB20260612LYG03,西武,巨人,3,0
2026-06-12,NPB20260612MDB04,ロッテ,DeNA,3,2
2026-06-12,NPB20260612SHYS06,ソフトバンク,ヤクルト,2,4
2026-06-13,NPB20260613BHT05,オリックス,阪神,3,6
2026-06-13,NPB20260613EHC02,楽天,広島,0,2
2026-06-13,NPB20260613FCD01,日本ハム,中日,4,3
2026-06-13,NPB20260613LYG03,西武,巨人,1,2
2026-06-13,NPB20260613MDB04,ロッテ,DeNA,6,16
2026-06-13,NPB20260613SHYS06,ソフトバンク,ヤクルト,8,1
2026-06-14,NPB20260614BHT05,オリックス,阪神,3,2
2026-06-14,NPB20260614EHC02,楽天,広島,0,3
2026-06-14,NPB20260614FCD01,日本ハム,中日,5,9
2026-06-14,NPB20260614LYG03,西武,巨人,1,0
2026-06-14,NPB20260614MDB04,ロッテ,DeNA,6,4
2026-06-14,NPB20260614SHYS06,ソフトバンク,ヤクルト,0,4
2026-06-16,NPB20260616HCF02,広島,日本ハム,0,2
2026-06-16,NPB20260616HTL01,阪神,西武,0,1
2026-06-17,NPB20260617HTE01,阪神,楽天,10,3
2026-06-19,NPB20260619BL06,オリックス,西武,6,5
2026-06-19,NPB20260619FSH04,日本ハム,ソフトバンク,4,3
2026-06-19,NPB20260619ME05,ロッテ,楽天,8,5
2026-06-20,NPB20260620BL04,オリックス,西武,0,4
2026-06-20,NPB20260620FSH03,日本ハム,ソフトバンク,7,10
2026-06-21,NPB20260621BL06,オリックス,西武,3,5
2026-06-21,NPB20260621FSH04,日本ハム,ソフトバンク,0,8
2026-06-21,NPB20260621ME05,ロッテ,楽天,7,4
2026-06-22,NPB20260622EL01,楽天,西武,8,7
2026-06-23,NPB20260623EL05,楽天,西武,8,4
2026-06-23,NPB20260623FM04,日本ハム,ロッテ,4,0
2026-06-23,NPB20260623SHB06,ソフトバンク,オリックス,0,5
2026-06-24,NPB20260624FM02,日本ハム,ロッテ,7,4
2026-06-24,NPB20260624SHB03,ソフトバンク,オリックス,8,5
