date,game_id,home,away,home_score,away_score,home_elo_before,away_elo_before,home_expected_win_rate,home_elo_change,home_elo_after,away_elo_after
2026-05-12,NPB20260512YGHC01,巨人,広島,5,3,1496.7562069883088,1426.3990501580322,0.530566663069059,11.266400086342585,1508.0226070746514,1415.1326500716896
2026-05-12,NPB20260512YSHT02,ヤクルト,阪神,0,10,1586.6934825921628,1565.24371275994,0.5153819423522156,-12.369166616453175,1574.3243159757096,1577.6128793763933
2026-05-13,NPB20260513DBCD03,DeNA,中日,5,0,1518.230955137747,1406.676592363809,0.5433149100884255,10.96044215787779,1529.191397295625,1395.7161502059312
2026-05-13,NPB20260513YGHC01,巨人,広島,4,2,1508.0226070746514,1415.1326500716896,0.5375453293824056,11.098912094822264,1519.1215191694737,1404.0337379768673
2026-05-13,NPB20260513YSHT02,ヤクルト,阪神,4,2,1574.3243159757096,1577.6128793763933,0.5076886081632028,11.815473404083132,1586.1397893797928,1565.7974059723101
2026-05-14,NPB20260514DBCD01,DeNA,中日,0,0,1529.191397295625,1395.7161502059312,0.5500762168162445,-1.2018292035898686,1527.9895680920351,1396.917979409521
2026-05-15,NPB20260515CDYS02,中日,ヤクルト,5,8,1396.917979409521,1586.1397893797928,0.4500018529464901,-10.800044470715761,1386.1179349388053,1596.9398338505084
2026-05-15,NPB20260515HTHC03,阪神,広島,0,2,1565.7974059723101,1404.0337379768673,0.5587739215135887,-13.41057411632613,1552.386831855984,1417.4443120931935
2026-05-15,NPB20260515YGDB01,巨人,DeNA,2,0,1519.1215191694737,1527.9895680920351,0.5059528194398754,11.85713233344299,1530.9786515029166,1516.1324357585922
2026-05-16,NPB20260516CDYS02,中日,ヤクルト,8,0,1386.1179349388053,1596.9398338505084,0.4433573035569417,13.359424714633398,1399.4773596534387,1583.580409135875
2026-05-16,NPB20260516HTHC03,阪神,広島,3,1,1552.386831855984,1417.4443120931935,0.5505281526451946,10.78732433651533,1563.1741561924994,1406.656987756678
2026-05-16,NPB20260516YGDB01,巨人,DeNA,4,3,1530.9786515029166,1516.1324357585922,0.5133288761472307,11.680106972466465,1542.6587584753831,1504.4523287861257
2026-05-17,NPB20260517CDYS02,中日,ヤクルト,1,5,1399.4773596534387,1583.580409135875,0.45157917795806374,-10.83790027099353,1388.6394593824452,1594.4183094068685
2026-05-17,NPB20260517HTHC03,阪神,広島,0,1,1563.1741561924994,1406.656987756678,0.5571633646195169,-13.371920750868405,1549.802235441631,1420.0289085075465
2026-05-17,NPB20260517YGDB01,巨人,DeNA,1,0,1542.6587584753831,1504.4523287861257,0.5205891532341936,11.505860322379352,1554.1646187977624,1492.9464684637464
2026-05-19,NPB20260519HCDB03,広島,DeNA,3,1,1420.0289085075465,1492.9464684637464,0.48602708458842775,12.335349969877733,1432.3642584774243,1480.6111184938686
2026-05-19,NPB20260519HTCD02,阪神,中日,4,2,1549.802235441631,1388.6394593824452,0.5585895233001944,10.593851440795333,1560.3960868824263,1378.04560794165
2026-05-19,NPB20260519YSYG01,ヤクルト,巨人,0,2,1594.4183094068685,1554.1646187977624,0.5212250653632572,-12.509401568718172,1581.9089078381503,1566.6740203664806
2026-05-20,NPB20260520HCDB02,広島,DeNA,3,4,1432.3642584774243,1480.6111184938686,0.49370031742414533,-11.848807618179489,1420.5154508592448,1492.4599261120482
2026-05-20,NPB20260520HTCD01,阪神,中日,8,7,1560.3960868824263,1378.04560794165,0.5650813606682008,10.43804734396318,1570.8341342263896,1367.6075605976866
2026-05-21,NPB20260521HCDB02,広島,DeNA,3,1,1420.5154508592448,1492.4599261120482,0.4863296383856691,12.328088678743942,1432.8435395379888,1480.131837433304
2026-05-21,NPB20260521YSYG01,ヤクルト,巨人,3,1,1581.9089078381503,1566.6740203664806,0.513449728574028,11.677206514223327,1593.5861143523737,1554.9968138522572
2026-05-22,NPB20260522CDHC02,中日,広島,6,2,1367.6075605976866,1432.8435395379888,0.4884157207055505,12.278022703066789,1379.8855833007535,1420.565516834922
2026-05-22,NPB20260522YGHT01,巨人,阪神,4,7,1554.9968138522572,1570.8341342263896,0.5037844689170988,-12.090827254010371,1542.905986598247,1582.9249614803998
2026-05-23,NPB20260523CDHC03,中日,広島,3,5,1379.8855833007535,1420.565516834922,0.4960545918986366,-11.905310205567279,1367.9802730951862,1432.4708270404892
2026-05-23,NPB20260523DBYS02,DeNA,ヤクルト,0,6,1480.131837433304,1593.5861143523737,0.4734350726534868,-11.362441743683682,1468.7693956896205,1604.9485560960572
2026-05-23,NPB20260523YGHT01,巨人,阪神,0,3,1542.905986598247,1582.9249614803998,0.496260243740647,-11.910245849775528,1530.9957407484715,1594.8352073301753
2026-05-24,NPB20260524CDHC03,中日,広島,3,5,1367.9802730951862,1432.4708270404892,0.48864754522729553,-11.727541085455092,1356.252732009731,1444.1983681259444
2026-05-24,NPB20260524DBYS02,DeNA,ヤクルト,1,0,1468.7693956896205,1604.9485560960572,0.4663897180177046,12.80664676757509,1481.5760424571956,1592.1419093284821
2026-05-24,NPB20260524YGHT01,巨人,阪神,3,6,1530.9957407484715,1594.8352073301753,0.48885003508026187,-11.732400841926285,1519.263339906545,1606.5676081721017
2026-05-26,NPB20260526CDE04,中日,楽天,1,0,1356.252732009731,1420.7647690270892,0.488640863999487,12.272619264012311,1368.5253512737434,1408.492149763077
2026-05-26,NPB20260526DBB03,DeNA,オリックス,1,7,1481.5760424571956,1552.245775649547,0.48672599932605953,-11.681423983825429,1469.8946184733702,1563.9271996333725
2026-05-26,NPB20260526HCM06,広島,ロッテ,1,3,1444.1983681259444,1469.3344976277472,0.5008911214237001,-12.0213869141688,1432.1769812117757,1481.3558845419159
2026-05-26,NPB20260526HTF05,阪神,日本ハム,0,4,1606.5676081721017,1472.4447012246776,0.5502757132815157,-13.206617118756377,1593.3609910533453,1485.651318343434
2026-05-26,NPB20260526YGSH01,巨人,ソフトバンク,3,8,1519.263339906545,1501.259068218786,0.5143107862793533,-12.343458870704481,1506.9198810358405,1513.6025270894906
2026-05-26,NPB20260526YSL02,ヤクルト,西武,1,2,1592.1419093284821,1583.951188252153,0.5112592064342526,-12.270220954422062,1579.87168837406,1596.2214092065751
2026-05-27,NPB20260527CDE04,中日,楽天,7,2,1368.5253512737434,1408.492149763077,0.4962764780504319,12.089364526789636,1380.614715800533,1396.4027852362872
2026-05-27,NPB20260527DBB03,DeNA,オリックス,2,5,1469.8946184733702,1563.9271996333725,0.47946485001433004,-11.50715640034392,1458.3874620730262,1575.4343560337165
2026-05-27,NPB20260527HCM06,広島,ロッテ,4,5,1432.1769812117757,1481.3558845419159,0.49341035087868557,-11.841848421088454,1420.3351327906873,1493.1977329630042
2026-05-27,NPB20260527HTF05,阪神,日本ハム,2,5,1593.3609910533453,1485.651318343434,0.5421273298840393,-13.011055917216943,1580.3499351361284,1498.662374260651
2026-05-27,NPB20260527YGSH01,巨人,ソフトバンク,5,1,1506.9198810358405,1513.6025270894906,0.5066327219036985,11.840814674311236,1518.7606957101518,1501.7617124151793
2026-05-27,NPB20260527YSL02,ヤクルト,西武,2,2,1579.87168837406,1596.2214092065751,0.5036250390694452,-0.08700093766668537,1579.7846874363934,1596.3084101442419
2026-05-28,NPB20260528CDE04,中日,楽天,2,1,1380.614715800533,1396.4027852362872,0.5037997929648522,11.908804968843548,1392.5235207693765,1384.4939802674437
2026-05-28,NPB20260528DBB03,DeNA,オリックス,3,1,1458.3874620730262,1575.4343560337165,0.472320483187227,12.664308403506553,1471.0517704765327,1562.77004763021
2026-05-28,NPB20260528HCM06,広島,ロッテ,3,6,1420.3351327906873,1493.1977329630042,0.4860441725436362,-11.665060141047269,1408.6700726496401,1504.8627931040514
2026-05-28,NPB20260528HTF05,阪神,日本ハム,2,4,1580.3499351361284,1498.662374260651,0.5340774856515488,-12.817859655637172,1567.5320754804911,1511.4802339162882
2026-05-28,NPB20260528YGSH01,巨人,ソフトバンク,4,8,1518.7606957101518,1501.7617124151793,0.5139982312874143,-12.335957550897943,1506.4247381592538,1514.0976699660773
2026-05-28,NPB20260528YSL02,ヤクルト,西武,0,8,1579.7846874363934,1596.3084101442419,0.5035708994238479,-12.08570158617235,1567.698985850221,1608.3941117304141
2026-05-29,NPB20260529BCD05,オリックス,中日,1,5,1562.77004763021,1392.5235207693765,0.5613753390169415,-13.473008136406595,1549.2970394938034,1405.9965289057832
2026-05-29,NPB20260529EYS02,楽天,ヤクルト,2,7,1384.4939802674437,1567.698985850221,0.45185600775346274,-10.844544186083105,1373.6494360813606,1578.5435300363042
2026-05-29,NPB20260529FYG01,日本ハム,巨人,2,4,1511.4802339162882,1506.4247381592538,0.5102841023404835,-12.246818456171603,1499.2334154601165,1518.6715566154255
2026-05-29,NPB20260529LDB03,西武,DeNA,13,4,1608.3941117304141,1471.0517704765327,0.5512671434984564,10.769588556037046,1619.163700286451,1460.2821819204958
2026-05-29,NPB20260529MHT04,ロッテ,阪神,0,1,1504.8627931040514,1567.5320754804911,0.4892139745468027,-11.741135389123265,1493.1216577149282,1579.2732108696143
2026-05-29,NPB20260529SHHC06,ソフトバンク,広島,2,0,1514.0976699660773,1408.6700726496401,0.5414221958946953,11.005867298527313,1525.1035372646047,1397.6642053511127
2026-05-30,NPB20260530BCD05,オリックス,中日,3,1,1549.2970394938034,1405.9965289057832,0.5531008917383561,10.725578598279455,1560.022618092083,1395.2709503075037
2026-05-30,NPB20260530EYS02,楽天,ヤクルト,7,8,1373.6494360813606,1578.5435300363042,0.4451788817178044,-10.684293161227306,1362.9651429201333,1589.2278231975315
2026-05-30,NPB20260530FYG01,日本ハム,巨人,3,5,1499.2334154601165,1518.6715566154255,0.5026640840517267,-12.06393801724144,1487.169477442875,1530.735494632667
2026-05-30,NPB20260530LDB03,西武,DeNA,6,0,1619.163700286451,1460.2821819204958,0.5578893175207503,10.610656379501993,1629.774356665953,1449.6715255409938
